Dansk
11-15 Leopold
11-16 Othenius
11-17 Anianus
11-18 Hesychius
11-19 Elisabeth
11-20 Volkmarus
11-21 Maria ofring
11-22 Cecilia
11-23 Clemens
11-24 Chrysogonus
11-25 Catharina
11-26 Conradus
11-27 Facindus
11-28 Sophie, Magdalene
11-29 Saturnius
11-30 Andreas
12-01 Arnold
12-02 Bibiana
12-03 Svend
12-04 Barbara
12-05 Sabina
12-06 Nikolaus
12-07 Agathon
12-08 Maria undfangelse
12-09 Rudolph
12-10 Judith
12-11 Damasus
12-12 Epimachus
12-13 Lucia
12-14 Crispus
12-15 Nikatius
12-16 Lazarus
12-17 Albina
12-18 Lovise
12-19 Nemesius
12-20 Abraham
12-21 Thomas
12-22 Japetus
12-23 Torlacus
12-24 Adam, Alexandrine
12-25 Juledag
12-26 Stefan
12-27 Evangelisten Johannes' dag
12-28 Børnedag
12-29 Noah
12-30 David
12-31 Sylvester
